REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008-03-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.2,E,,,1
2008-04-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.1,,,,1
2008-04-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.3,,,,1
2008-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.4,E,,,1
2008-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.1,,,,1
2008-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.2,,,,1
2008-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.5,E,,,1
2008-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.2,,,,1
2008-06-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.3,,,,1
2008-06-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.7,E,,,1
2008-07-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.2,,,,1
2008-07-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.3,,,,1
2008-07-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.8,E,,,1
2008-08-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.2,,,,1
2008-08-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.3,,,,1
2008-08-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.9,E,,,1
2008-09-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.3,,,,1
2008-09-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.3,,,,1
2008-09-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,93.1,E,,,1
2008-10-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.9,,,,1
2008-10-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.6,,,,1
2008-10-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,93.4,E,,,1
2008-11-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.7,,,,1
2008-11-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.2,,,,1
2008-11-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,93.5,E,,,1
2008-12-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.5,,,,1
2008-12-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.0,,,,1
2008-12-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,93.4,E,,,1
2009-01-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.0,,,,1
2009-01-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,84.5,,,,1
2009-01-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.9,E,,,1
2009-02-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.4,,,,1
2009-02-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,83.8,,,,1
2009-02-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.3,E,,,1
2009-03-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.0,,,,1
2009-03-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,83.3,,,,1
2009-03-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.9,E,,,1
2009-04-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.5,,,,1
2009-04-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,82.7,,,,1
2009-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.8,E,,,1
